clip,source,capture_time,duration_s,motion_energy,mean_luma,hue_deg,colorfulness,sharpness,thumb
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot000.mp4,cliff,2004-05-07T20-00-00,6.83,0.758,0.421,93.2,33.12,127.4,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot001.mp4,cliff,2004-05-07T20-01-00,6.38,0.3033,0.477,210.0,54.95,156.4,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot002.mp4,cliff,2004-05-07T20-02-00,2.61,0.7558,0.618,90.2,55.04,295.0,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot003.mp4,cliff,2004-05-07T20-03-00,6.58,0.9022,0.31,262.7,54.44,208.4,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot004.mp4,cliff,2004-05-07T20-04-00,4.04,0.1007,0.434,219.9,55.22,290.3,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot005.mp4,cliff,2004-05-07T20-05-00,4.08,0.8653,0.26,289.8,35.18,14.1,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot006.mp4,cliff,2004-05-07T20-06-00,5.9,0.3988,0.825,240.5,5.06,153.1,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot007.mp4,cliff,2004-05-07T20-07-00,7.01,0.2439,0.325,313.4,15.51,174.6,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot008.mp4,cliff,2004-05-07T20-08-00,2.29,0.9675,0.803,161.3,9.42,102.8,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot009.mp4,cliff,2004-05-07T20-09-00,4.31,0.9328,0.109,198.5,43.86,168.8,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot010.mp4,cliff,2004-05-07T20-10-00,6.61,0.5403,0.964,217.1,37.32,139.0,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot011.mp4,cliff,2004-05-07T20-11-00,4.97,0.3849,0.576,104.5,15.42,64.2,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot012.mp4,cliff,2004-05-07T20-12-00,5.1,0.6567,0.477,32.3,46.67,264.3,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot013.mp4,cliff,2004-05-07T20-13-00,7.43,0.8425,0.898,332.3,34.73,123.5,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot014.mp4,cliff,2004-05-07T20-14-00,5.79,0.2756,0.812,305.8,54.23,181.0,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot015.mp4,cliff,2004-05-07T20-15-00,7.62,0.5797,0.451,237.7,59.79,275.9,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot016.mp4,cliff,2004-05-07T20-16-00,6.45,0.0824,0.613,175.1,39.66,255.1,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot017.mp4,cliff,2004-05-07T20-17-00,2.32,0.7315,0.117,79.4,48.7,106.4,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot018.mp4,cliff,2004-05-07T20-18-00,6.62,0.1006,0.146,251.2,7.49,176.4,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot019.mp4,cliff,2004-05-07T20-19-00,7.33,0.5342,0.681,9.6,39.92,185.8,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot020.mp4,cliff,2004-05-07T20-20-00,4.82,0.3912,0.37,353.0,7.0,16.3,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot021.mp4,cliff,2004-05-07T20-21-00,7.71,0.185,0.124,75.8,49.04,281.7,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot022.mp4,cliff,2004-05-07T20-22-00,0.67,0.4256,0.102,93.6,17.15,197.6,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot023.mp4,cliff,2004-05-07T20-23-00,3.13,0.1803,0.504,14.2,10.55,296.6,thumbs/none.jpg
/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot024.mp4,cliff,2004-05-07T20-24-00,2.0,0.3586,0.732,301.8,55.52,59.1,thumbs/none.jpg
