position,cluster,clip,motion_energy,mean_luma,hue_deg,duration_s,capture_time
0,2,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot023.mp4,0.1803,0.504,14.2,3.13,2004-05-07T20-23-00
1,2,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot013.mp4,0.8425,0.898,332.3,7.43,2004-05-07T20-13-00
2,2,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot014.mp4,0.2756,0.812,305.8,5.79,2004-05-07T20-14-00
3,2,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot007.mp4,0.2439,0.325,313.4,7.01,2004-05-07T20-07-00
4,2,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot019.mp4,0.5342,0.681,9.6,7.33,2004-05-07T20-19-00
5,0,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot021.mp4,0.185,0.124,75.8,7.71,2004-05-07T20-21-00
6,0,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot012.mp4,0.6567,0.477,32.3,5.1,2004-05-07T20-12-00
7,0,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot000.mp4,0.758,0.421,93.2,6.83,2004-05-07T20-00-00
8,0,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot002.mp4,0.7558,0.618,90.2,2.61,2004-05-07T20-02-00
9,0,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot017.mp4,0.7315,0.117,79.4,2.32,2004-05-07T20-17-00
10,1,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot016.mp4,0.0824,0.613,175.1,6.45,2004-05-07T20-16-00
11,1,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot010.mp4,0.5403,0.964,217.1,6.61,2004-05-07T20-10-00
12,1,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot001.mp4,0.3033,0.477,210.0,6.38,2004-05-07T20-01-00
13,1,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot008.mp4,0.9675,0.803,161.3,2.29,2004-05-07T20-08-00
14,1,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot006.mp4,0.3988,0.825,240.5,5.9,2004-05-07T20-06-00
15,1,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot004.mp4,0.1007,0.434,219.9,4.04,2004-05-07T20-04-00
16,1,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot009.mp4,0.9328,0.109,198.5,4.31,2004-05-07T20-09-00
17,1,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot018.mp4,0.1006,0.146,251.2,6.62,2004-05-07T20-18-00
18,1,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot003.mp4,0.9022,0.31,262.7,6.58,2004-05-07T20-03-00
19,1,/sessions/sweet-nice-fermat/mnt/outputs/_smoke/clips/shot015.mp4,0.5797,0.451,237.7,7.62,2004-05-07T20-15-00
